ID;Loan Duration;Credit history;Purpose;Loan Amount;Savings Account;Length of Current Employment;Installment Rate as % of Income;Guarantors;Length of Current Property Residence;Age;Housing;Number of existing loans;Job;Number of dependants;foreign worker;Sex;status;Target2;Target
1;6;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1169;No Savings Account;more than 6 years;4;None;4;67;Ownership;2;Skilled;1;Yes;male;single;1;[756, 536, 554, 774, 187, 137, 629, 186, 430, 75, 606, 779, 723, 976]
2;48;Existing Credits Paid Back Duly Till Now;Radio/TV;5951;Less than 100 DM;1-3 years;2;None;2;22;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[667, 706, 286, 11, 242, 332, 273, 999, 677, 145, 35, 639, 789, 130]
3;12;Critical Account / Other Credits Existing at Other Bank;Education;2096;Less than 100 DM;4-6 years;2;None;3;49;Ownership;1;Unskilled - Resident;2;Yes;male;single;1;[303, 619, 581, 485, 422, 356, 20, 823, 835, 502, 277, 635, 281, 398]
4;42;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;7882;Less than 100 DM;4-6 years;2;Guarantor;4;45;Free Housing;1;Skilled;2;Yes;male;single;1;[294, 814, 701, 115, 509, 615, 828, 854, 87, 304, 538, 650, 902, 653]
5;24;Delay in Paying Off in the Past;New car;4870;Less than 100 DM;1-3 years;3;None;4;53;Free Housing;2;Skilled;2;Yes;male;single;2;[190, 183, 793, 773, 924, 6, 212, 843, 607, 560, 16, 662, 514, 796]
6;36;Existing Credits Paid Back Duly Till Now;Education;9055;No Savings Account;1-3 years;2;None;4;35;Free Housing;1;Unskilled - Resident;2;Yes;male;single;1;[563, 7, 375, 921, 657, 549, 272, 868, 285, 411, 888, 685, 829, 266]
7;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2835;500-1000 DM;more than 6 years;3;None;4;53;Ownership;1;Skilled;1;Yes;male;single;1;[16, 514, 190, 798, 773, 800, 793, 4, 183, 662, 227, 843, 796, 560]
8;36;Existing Credits Paid Back Duly Till Now;Used car;6948;Less than 100 DM;1-3 years;2;None;2;35;Rented;1;Highly Skilled;1;Yes;male;single;1;[888, 893, 411, 986, 415, 868, 266, 5, 552, 76, 879, 778, 981, 191]
9;12;Existing Credits Paid Back Duly Till Now;Radio/TV;3059;More than 1000 DM;4-6 years;2;None;4;61;Ownership;1;Unskilled - Resident;1;Yes;male;divorced/separated;1;[987, 760, 883, 769, 96, 360, 976, 624, 807, 544, 779, 283, 589, 449]
10;30;Critical Account / Other Credits Existing at Other Bank;New car;5234;Less than 100 DM;Unemployed;4;None;2;28;Ownership;2;Highly Skilled;1;Yes;male;married/widowed;2;[320, 658, 665, 118, 988, 753, 468, 51, 153, 69, 735, 603, 951, 578]
11;12;Existing Credits Paid Back Duly Till Now;New car;1295;Less than 100 DM;less than 1 year;3;None;1;25;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[197, 985, 337, 869, 221, 582, 111, 707, 623, 372, 926, 386, 817, 809]
12;48;Existing Credits Paid Back Duly Till Now;Business;4308;Less than 100 DM;less than 1 year;3;None;4;24;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[242, 286, 273, 999, 35, 667, 639, 1, 789, 145, 706, 998, 194, 780]
13;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1567;Less than 100 DM;1-3 years;1;None;1;22;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[934, 550, 836, 610, 708, 873, 931, 604, 632, 308, 722, 783, 471, 573]
14;24;Critical Account / Other Credits Existing at Other Bank;New car;1199;Less than 100 DM;more than 6 years;4;None;4;60;Ownership;2;Unskilled - Resident;1;Yes;male;single;2;[781, 541, 487, 465, 237, 838, 678, 83, 213, 179, 438, 62, 360, 760]
